id,date,category,amount,vendor
829,1/5/2024,Office supplies,$568.77,Lenana Office Solutions
830,5/1/2024,Travel,$434.43,Safari Bookings Kenya
831,9/11/2023,Utilities,$686.84,Maji Bora Water Company (Water)
832,6/30/2023,Legal Fees,$346.28,Harambee Law Chambers
833,10/27/2023,Utilities,$433.26,Maji Bora Water Company (Water)
834,6/4/2024,Utilities,$174.89,Maji Bora Water Company (Water)
835,8/10/2023,Travel,$284.07,Safari Bookings Kenya
836,10/15/2023,Legal Fees,$255.73,Adler & Associates Advocates
837,1/28/2024,Legal Fees,$927.95,Harambee Law Chambers
838,7/7/2023,Travel,$556.60,Fahari Corporate Travel
839,3/1/2024,Office supplies,$940.41,Lenana Office Solutions
840,1/5/2024,Office supplies,$546.00,Faniki Cartridges & Toners
841,4/20/2024,Office supplies,$656.26,Lenana Office Solutions
842,7/13/2023,Office supplies,$885.99,Lenana Office Solutions
843,7/22/2023,Legal Fees,$494.86,Adler & Associates Advocates
844,7/3/2023,Travel,$808.45,Wilderness Wanderer Tours & Safaris
845,12/12/2023,Legal Fees,$708.84,Adler & Associates Advocates
846,7/28/2023,Office supplies,$112.67,Jambo Stationery Supplies Ltd
847,9/24/2023,Legal Fees,$215.00,Nyota Legal Consultants
848,11/5/2023,Legal Fees,$250.58,Nyota Legal Consultants
849,6/11/2024,Legal Fees,$727.08,Nyota Legal Consultants
850,3/29/2024,Office supplies,$485.06,Jambo Stationery Supplies Ltd
851,10/1/2023,Utilities,$241.34,Simba Internet Ltd. (Internet Service Provider)
852,8/31/2023,Travel,$340.26,Wilderness Wanderer Tours & Safaris
853,8/2/2023,Legal Fees,$489.61,Nyota Legal Consultants
854,5/25/2024,Utilities,$827.71,Kestrel Power (Electricity)
855,9/30/2023,Legal Fees,$105.26,Nyota Legal Consultants
856,4/6/2024,Office supplies,$373.67,Lenana Office Solutions
857,5/4/2024,Utilities,$625.96,Simba Internet Ltd. (Internet Service Provider)
858,3/2/2024,Utilities,$666.92,Simba Internet Ltd. (Internet Service Provider)
859,3/16/2024,Travel,$36.57,Wilderness Wanderer Tours & Safaris
860,2/23/2024,Utilities,$308.75,Simba Internet Ltd. (Internet Service Provider)
861,4/22/2024,Office supplies,$297.70,Jambo Stationery Supplies Ltd
862,7/28/2023,Legal Fees,$779.85,Nyota Legal Consultants
863,8/28/2023,Legal Fees,$282.09,Nyota Legal Consultants
864,10/4/2023,Travel,$522.11,Fahari Corporate Travel
865,8/29/2023,Travel,$164.53,Wilderness Wanderer Tours & Safaris
866,6/16/2023,Utilities,$817.52,Simba Internet Ltd. (Internet Service Provider)
867,6/26/2023,Utilities,$616.19,Kestrel Power (Electricity)
868,10/7/2023,Legal Fees,$820.02,Adler & Associates Advocates
869,6/11/2024,Travel,$107.59,Fahari Corporate Travel
870,2/11/2024,Utilities,$181.63,Simba Internet Ltd. (Internet Service Provider)
871,9/27/2023,Utilities,$239.85,Simba Internet Ltd. (Internet Service Provider)
872,12/11/2023,Utilities,$238.38,Simba Internet Ltd. (Internet Service Provider)
873,4/8/2024,Utilities,$578.61,Simba Internet Ltd. (Internet Service Provider)
874,10/29/2023,Office supplies,$751.59,Jambo Stationery Supplies Ltd
875,12/1/2023,Travel,$809.18,Safari Bookings Kenya
876,12/2/2023,Office supplies,$93.85,Jambo Stationery Supplies Ltd
877,1/13/2024,Legal Fees,$269.35,Harambee Law Chambers
878,11/10/2023,Utilities,$247.86,Maji Bora Water Company (Water)
879,8/31/2023,Legal Fees,$672.98,Adler & Associates Advocates
880,7/20/2023,Legal Fees,$999.97,Adler & Associates Advocates
881,2/16/2024,Travel,$788.42,Safari Bookings Kenya
882,8/28/2023,Office supplies,$841.20,Faniki Cartridges & Toners
883,10/6/2023,Travel,$456.60,Wilderness Wanderer Tours & Safaris
884,6/27/2023,Travel,$673.08,Fahari Corporate Travel
885,10/24/2023,Office supplies,$205.10,Lenana Office Solutions
886,4/18/2024,Legal Fees,$378.90,Adler & Associates Advocates
887,5/16/2024,Office supplies,$861.85,Jambo Stationery Supplies Ltd
888,12/19/2023,Utilities,$919.76,Kestrel Power (Electricity)
889,4/20/2024,Utilities,$230.69,Kestrel Power (Electricity)
890,4/18/2024,Office supplies,$466.25,Faniki Cartridges & Toners
891,1/13/2024,Travel,$829.06,Safari Bookings Kenya
892,8/5/2023,Utilities,$117.62,Simba Internet Ltd. (Internet Service Provider)
893,6/9/2024,Legal Fees,$602.16,Harambee Law Chambers
894,9/20/2023,Utilities,$464.77,Simba Internet Ltd. (Internet Service Provider)
895,12/19/2023,Legal Fees,$161.84,Adler & Associates Advocates
896,9/20/2023,Legal Fees,$802.26,Harambee Law Chambers
897,11/29/2023,Travel,$875.66,Safari Bookings Kenya
898,7/14/2023,Legal Fees,$562.29,Adler & Associates Advocates
899,1/17/2024,Office supplies,$626.13,Jambo Stationery Supplies Ltd
900,9/16/2023,Utilities,$248.69,Simba Internet Ltd. (Internet Service Provider)
901,4/12/2024,Utilities,$778.20,Simba Internet Ltd. (Internet Service Provider)
902,1/30/2024,Utilities,$445.45,Simba Internet Ltd. (Internet Service Provider)
903,12/22/2023,Utilities,$884.89,Simba Internet Ltd. (Internet Service Provider)
904,8/28/2023,Travel,$800.80,Wilderness Wanderer Tours & Safaris
905,6/14/2023,Office supplies,$59.80,Faniki Cartridges & Toners
906,5/2/2024,Travel,$29.59,Safari Bookings Kenya
907,7/29/2023,Legal Fees,$393.77,Adler & Associates Advocates
908,4/7/2024,Office supplies,$553.33,Lenana Office Solutions
909,3/9/2024,Utilities,$949.29,Simba Internet Ltd. (Internet Service Provider)
910,5/2/2024,Legal Fees,$214.73,Harambee Law Chambers
911,11/7/2023,Office supplies,$909.35,Jambo Stationery Supplies Ltd
912,7/26/2023,Legal Fees,$581.32,Harambee Law Chambers
913,8/15/2023,Travel,$225.60,Safari Bookings Kenya
914,7/29/2023,Legal Fees,$615.55,Nyota Legal Consultants
915,10/7/2023,Office supplies,$232.17,Faniki Cartridges & Toners
916,6/16/2023,Office supplies,$597.77,Lenana Office Solutions
917,11/21/2023,Utilities,$622.21,Maji Bora Water Company (Water)
918,6/25/2023,Office supplies,$692.22,Faniki Cartridges & Toners
919,2/18/2024,Travel,$805.29,Safari Bookings Kenya
920,8/15/2023,Office supplies,$887.55,Lenana Office Solutions
921,9/23/2023,Utilities,$808.74,Maji Bora Water Company (Water)
922,12/14/2023,Legal Fees,$611.06,Harambee Law Chambers
923,6/3/2024,Legal Fees,$488.64,Harambee Law Chambers
924,2/5/2024,Travel,$25.81,Wilderness Wanderer Tours & Safaris
925,12/5/2023,Travel,$437.74,Safari Bookings Kenya
926,7/24/2023,Utilities,$492.47,Simba Internet Ltd. (Internet Service Provider)
927,5/31/2024,Legal Fees,$559.01,Nyota Legal Consultants
928,9/29/2023,Office supplies,$142.93,Lenana Office Solutions
929,6/12/2024,Office supplies,$373.70,Lenana Office Solutions
930,7/28/2023,Utilities,$697.70,Kestrel Power (Electricity)
931,4/5/2024,Office supplies,$486.70,Lenana Office Solutions
932,5/5/2024,Utilities,$63.84,Simba Internet Ltd. (Internet Service Provider)
933,10/17/2023,Office supplies,$529.53,Faniki Cartridges & Toners
934,12/16/2023,Office supplies,$1.83,Jambo Stationery Supplies Ltd
935,7/26/2023,Office supplies,$981.72,Faniki Cartridges & Toners
936,8/10/2023,Utilities,$434.05,Simba Internet Ltd. (Internet Service Provider)
937,10/14/2023,Travel,$508.37,Wilderness Wanderer Tours & Safaris
938,12/26/2023,Travel,$794.94,Wilderness Wanderer Tours & Safaris
939,8/2/2023,Office supplies,$510.65,Lenana Office Solutions
940,5/27/2024,Utilities,$134.25,Maji Bora Water Company (Water)
941,1/14/2024,Legal Fees,$625.91,Adler & Associates Advocates
942,12/16/2023,Office supplies,$554.96,Faniki Cartridges & Toners
943,3/18/2024,Legal Fees,$673.22,Adler & Associates Advocates
944,4/22/2024,Travel,$810.54,Fahari Corporate Travel
945,5/20/2024,Legal Fees,$868.07,Adler & Associates Advocates
946,11/17/2023,Utilities,$280.33,Simba Internet Ltd. (Internet Service Provider)
947,1/31/2024,Legal Fees,$951.71,Adler & Associates Advocates
948,2/4/2024,Travel,$91.36,Fahari Corporate Travel
949,7/13/2023,Travel,$896.55,Wilderness Wanderer Tours & Safaris
950,10/25/2023,Travel,$203.92,Wilderness Wanderer Tours & Safaris
951,5/11/2024,Legal Fees,$612.81,Harambee Law Chambers
952,8/22/2023,Office supplies,$399.75,Jambo Stationery Supplies Ltd
953,6/6/2024,Travel,$225.17,Safari Bookings Kenya
954,1/7/2024,Travel,$214.43,Wilderness Wanderer Tours & Safaris
955,9/20/2023,Utilities,$665.77,Kestrel Power (Electricity)
956,5/31/2024,Utilities,$582.19,Simba Internet Ltd. (Internet Service Provider)
957,5/2/2024,Office supplies,$179.71,Jambo Stationery Supplies Ltd
958,2/28/2024,Office supplies,$34.51,Jambo Stationery Supplies Ltd
959,1/22/2024,Utilities,$788.76,Maji Bora Water Company (Water)
960,11/22/2023,Utilities,$226.45,Simba Internet Ltd. (Internet Service Provider)
961,1/16/2024,Travel,$73.73,Fahari Corporate Travel
962,6/26/2023,Utilities,$791.99,Kestrel Power (Electricity)
963,3/26/2024,Office supplies,$894.51,Lenana Office Solutions
964,2/9/2024,Utilities,$629.65,Simba Internet Ltd. (Internet Service Provider)
965,8/20/2023,Legal Fees,$620.21,Adler & Associates Advocates
966,11/30/2023,Utilities,$687.42,Maji Bora Water Company (Water)
967,12/30/2023,Travel,$854.67,Safari Bookings Kenya
968,8/17/2023,Office supplies,$391.81,Jambo Stationery Supplies Ltd
969,6/14/2023,Legal Fees,$720.97,Adler & Associates Advocates
970,10/28/2023,Travel,$678.73,Wilderness Wanderer Tours & Safaris
971,6/15/2023,Office supplies,$884.14,Faniki Cartridges & Toners
972,7/26/2023,Travel,$987.92,Wilderness Wanderer Tours & Safaris
973,12/21/2023,Legal Fees,$612.85,Nyota Legal Consultants
974,2/1/2024,Travel,$397.16,Safari Bookings Kenya
975,4/10/2024,Utilities,$191.80,Simba Internet Ltd. (Internet Service Provider)
976,7/7/2023,Office supplies,$407.88,Lenana Office Solutions
977,5/19/2024,Legal Fees,$414.55,Adler & Associates Advocates
978,7/20/2023,Travel,$161.76,Fahari Corporate Travel
979,1/10/2024,Office supplies,$107.04,Jambo Stationery Supplies Ltd
980,8/6/2023,Travel,$352.26,Wilderness Wanderer Tours & Safaris
981,2/25/2024,Office supplies,$164.10,Lenana Office Solutions
982,3/29/2024,Utilities,$658.91,Maji Bora Water Company (Water)
983,11/21/2023,Travel,$158.89,Fahari Corporate Travel
984,8/17/2023,Office supplies,$857.71,Jambo Stationery Supplies Ltd
985,2/15/2024,Office supplies,$319.17,Faniki Cartridges & Toners
986,5/18/2024,Travel,$85.02,Safari Bookings Kenya
987,6/3/2024,Travel,$682.17,Fahari Corporate Travel
988,12/20/2023,Legal Fees,$159.45,Adler & Associates Advocates
989,9/23/2023,Office supplies,$377.23,Faniki Cartridges & Toners
990,7/8/2023,Office supplies,$991.65,Lenana Office Solutions
991,10/14/2023,Office supplies,$359.40,Jambo Stationery Supplies Ltd
992,9/24/2023,Travel,$985.15,Wilderness Wanderer Tours & Safaris
993,4/18/2024,Travel,$664.16,Wilderness Wanderer Tours & Safaris
994,10/6/2023,Office supplies,$374.44,Lenana Office Solutions
995,6/14/2023,Travel,$691.95,Safari Bookings Kenya
996,10/10/2023,Travel,$460.30,Safari Bookings Kenya
997,6/6/2024,Travel,$638.52,Safari Bookings Kenya
998,7/16/2023,Travel,$999.27,Wilderness Wanderer Tours & Safaris
999,12/19/2023,Utilities,$257.62,Maji Bora Water Company (Water)
1000,6/22/2023,Legal Fees,$302.49,Harambee Law Chambers
